Name,Points,Steals,Blocks,Assists,Rebounds,Turnovers,3-Pointer Percentage,Free Throw Percentage,Field Goal Percentage,Fouls,Minutes
Josh Nebo,1162,36,268,69,772,191,,0.609,0.604,279,3120
Savion Flagg,880,53,20,169,504,182,0.349,0.608,0.443,120,2540
Wendell Mitchell,756,98,10,140,223,150,0.314,0.796,0.368,166,1938
Quenton Jackson,256,36,6,45,85,44,0.244,0.76,0.366,59,684
Emanuel Miller,191,21,2,26,190,35,0.143,0.617,0.404,58,739
Jay Jay Chandler,556,71,8,96,192,122,0.296,0.737,0.392,193,1704
Andre Gordon,177,24,1,44,58,53,0.272,0.731,0.343,25,677
Yavuz Gultekin,45,4,1,4,39,6,0.231,0.75,0.45,17,192
Mark French,52,9,0,29,20,18,0.27,,0.279,20,340
Jonathan Aku,29,6,9,7,69,18,,0.583,0.478,37,251
Zach Walker,6,2,1,0,4,4,0.0,,0.25,4,49
Luke McGhee,0,0,0,0,0,0,,,,0,5
Everett Vaughn,0,0,0,0,0,0,,,,1,0
TJ Starks,651,45,3,166,123,188,0.27,0.643,0.377,116,1422
