Name,QBR,Touchdowns,Rush Yards,Receiving Yards,Ints,Sacks,Tackles
Kellen Mond,131.1,8,501,0,0,0.0,0
Zach Calzada,115.7,0,0,0,,,
James Foster,61.3,0,15,0,,,
Connor Blumkirk,,0,28,0,,,
Reinard Britz,,,,,,,
Alex Fernandes,,,,,,,
Jake Smith,,,,,,,
Colton Taylor,,,,,,,
Isaiah Spiller,,10,946,203,0,0.0,1
Jashaun Corbin,,2,137,16,0,0.0,1
Jacob Kibodi,,1,123,37,0,0.0,0
Cordarrian Richardson,,5,232,17,0,0.0,1
Vernon Jackson,,0,,,,,
Deneric Prince,,0,,,,,
Bladen Reaves,,,,,,,
A.J. Sanders,,,,,,,
Ainias Smith,,3,54,248,,,
Quartney Davis,,4,32,616,0,0.0,0
Jhamon Ausbon,,5,0,872,0,0.0,0
Kendrick Rogers,,2,0,351,0,0.0,1
Camron Buckley,,0,0,121,,,
Jalen Preston,,0,0,36,0,0.0,1
Kam Brown,,0,0,19,,,
Caleb Chapman,,0,0,6,0,0.0,3
Roshauud Paul,,0,0,11,,,
Chase Lane,,,,,,,
Ke'undre Azakytu,,,,,,,
Andrew Boykin,,0,,,,,
Daniel Bushland,,,,,,,
Kenyon Jackson,,,,,,,
Hezekiah Jones,,0,,,,,
Reese Mason,,,,,,,
Hunter Smith,,,,,,,
Dean Taylor,,,,,,,
Ethan West,,,,,,,
Dylan Wright,,,,,,,
Jalen Wydermyer,,6,0,447,,,
Glenn Beal,,0,0,21,,,
Ryan Renick,,0,0,31,0,0.0,1
Cameron Horry,,,,,0,0.0,1
Baylor Cupp,,,,,,,
Jacob Groff,,,,,,,
Daniel Haak,,,,,,,
Tyler Ondrusek,,,,,,,
Tyler Scoggin,,,,,,,
Kenyon Green,,,,,,,
Colton Prater,,,,,,,
Riley Anderson,,,,,,,
Colten Blanton,,,,,,,
Barton Clement,,,,,,,
Kellen Diesch,,,,,,,
Galen Gallagher,,,,,,,
Carson Green,,,,,,,
Harrison Hall,,,,,,,
Jared Hocker,,,,,,,
"Marcus ""Tank"" Jenkins",,,,,,,
Braedon Kobza,,,,,,,
Luke Matthews,,,,,,,
Ryan McCollum,,,,,,,
Dan Moore Jr.,,,,,,,
Grayson Reed,,,,,,,
Layden Robinson,,,,,,,
Thomas Spann,,,,,,,
Blake Trainor,,,,,,,
Bobby Brown III,,,,,0,0.5,21
Micheal Clemons,,,,,0,0.5,28
Mitchell Howard,,,,,0,1.0,1
Tyree Johnson,,,,,0,4.0,32
Adarious Jones,,,,,0,0.0,1
Demarvin Leal,,,,,0,2.0,38
Justin Madubuike,,,,,1,5.5,45
Jeremiah Martin,,,,,0,0.0,8
Jayden Peevy,,,,,0,1.5,34
Josh Rogers,,,,,0,0.0,5
Tyree Wilson,,,,,0,1.5,12
Max Wright,,,,,0,0.0,1
Derick Hunter,,,,,,,
Danny Milam,,,,,,,
R.J. Orebo,,,,,,,
Aaron Hansford,,0,0,0,0,2.0,15
Anthony Hines III,,,,,0,0.0,73
Brian Johnson,,,,,0,0.0,1
Buddy Johnson,,,,,0,1.0,77
Keeath Magee II,,,,,0,0.0,2
Ikenna Okeke,,,,,0,0.0,1
Chris Russell,,,,,0,0.0,1
Andre White Jr.,,,,,0,2.0,15
Braden White,,,,,0,0.0,2
Logan Bland,,,,,,,
Ke'Shun Brown,,,,,,,
Spencer Higdon,,,,,,,
Tarian Lee Jr.,,,,,,,
John Locke,,,,,,,
Joseph Mawad,,,,,,,
MCrae Rutledge,,,,,,,
Elijah Blades,,,,,0,1.5,19
Keldrick Carper,,,,,0,1.0,50
Clifford Chattman,,,,,1,0.0,28
Roney Elam,,,,,2,1.0,8
Travon Fuller,,,,,0,0.0,9
Konnor Hitchcock,,,,,0,0.0,1
Myles Jones,,,,,2,0.0,29
Devin Morris,,,,,1,2.0,12
Leon O'Neal Jr.,,,,,1,0.0,41
Charles Oliver,,,,,0,0.0,29
Larry Pryor,,,,,0,0.0,12
Debione Renfro,,,,,0,1.5,33
Moses Reynolds,,,,,0,0.0,1
Demani Richardson,,,,,1,0.5,71
Derrick Tucker,,,,,0,0.0,2
Brian Williams,,,,,0,0.0,1
Erick Young,,,,,1,0.0,1
Noah Barker,,,,,,,
Zachary Cuellar,,,,,,,
Marquez Johnson,,,,,,,
Brady Marek,,,,,,,
Cade Prendergast,,,,,,,
Alex Zettler,,,,,,,
Braden Mann,,0,15,0,0,0.0,7
Nik Constantinou,,,,,,,
Alan Guerrieri,,,,,,,
Cagan Baldtree,,0,0,8,0,0.0,1
Seth Small,,,,,,,
Nigel Brobbey,,,,,,,
Connor Choate,,,,,,,
Caden Davis,,,,,,,
Michael Maldonado,,,,,,,
Justin Mellenbruch,,,,,,,
Jake Pagel,,,,,,,
Drew Riethman,,,,,,,
Sam Stanley,,,,,,,
Garrett Townsend,,,,,,,
